genotype_id,pgs_model_id,score
HG01879,PGS003162,0.07373682062403897
HG03342,PGS000554,0.23113426443720025
HG00551,PGS004720,-0.36825377287435446
HG01462,PGS002988,-0.474643112737105
HG00403,PGS005130,0.07260480134510469
HG02116,PGS004102,0.6948690191703566
HG00096,PGS001232,1.0735623002134993
HG01779,PGS001007,2.0770276630085993
HG01583,PGS001632,-9.883184290463992
HG03867,PGS001033,-1.769773
HG01879,PGS003451,NULL
HG03342,PGS005228,NULL
HG00551,PGS000343,NULL
HG01462,PGS003757,NULL
HG00403,PGS004256,NULL
HG02116,PGS004260,NULL
HG00096,PGS004262,NULL
HG01779,PGS004272,NULL
HG01583,PGS004280,NULL
HG03867,PGS004304,NULL
